0,1,2,3,4,5
S.No,Category,Event,Day,Time,Venue
,Techno Sports & Races ,Robo Races(4 no),07.02.2026,09:00 - 12:00,N Block Ground floor Open Air
,Techno Sports & Races ,Line Follower Challenge(4 no),07.02.2026,14:00 - 16:00 ,N Block Ground floor Open Air
,Visual Arts & Craft,Theme Painting,06.02.2026,10:00 - 13:00,N Block - 107
,Visual Arts & Craft,Mehandi,06.02.2026,10:00 - 13:00,N Block - 106
,Visual Arts & Craft,Clay modelling,06.02.2026,14:00 - 17:00,N Block - 106
,Visual Arts & Craft,Face Painting,06.02.2026,14:00 - 17:00,N Block - 107
,Visual Arts & Craft,Mandala,06.02.2026,17:00 - 19:00,N Block - 107
,Visual Arts & Craft,Rangoli (2 no.),07.02.2026,09:00 - 12:00,H Block Grounds
,Visual Arts & Craft,Pencil Sketching,07.02.2026,09:00 - 12:00,N Block - 107
,Visual Arts & Craft,Collage,07.02.2026,13:00 - 16:00,N Block - 107
,Visual Arts & Craft Workshop,Bamboo Crafts,07.02.2026,13:30 - 15:30 ,MHP
